1;0,001;1,55;0,069446;206;430,04
2;0,007;1,55;0,061134;91;158,7
3;0,007;1,55;0,061134;96;156
4;0,007;1,55;0,061134;92;154,41
5;1;1,2;0,092316;216;441,38
6;0,007;1,55;0,061134;95;166,35
7;0,007;1,55;0,061134;60;108,27
8;0,007;1,55;0,061134;92;127,53
9;0,007;1,55;0,061134;97;158,4
10;0,02;1,54;0,062248;183;280,31
11;0,05;1,52;0,065393;217;302,94
12;0,007;1,55;0,061134;93;151,41
13;0,007;1,55;0,061134;18;35,476
14;0,02;1,54;0,062248;248;378,97
15;0,007;1,55;0,061134;70;114,1
16;0,007;1,55;0,061134;63;106,67
17;0,007;1,55;0,061134;25;45,388
18;0,007;1,55;0,061134;65;114,09
19;0,007;1,55;0,061134;94;159,84
20;0,007;1,55;0,061134;94;147,26
21;0,007;1,55;0,061134;90;126
22;0,007;1,55;0,061134;56;101,52
23;0,007;1,55;0,061134;58;102,37
24;0,007;1,55;0,061134;94;154,45
25;1;1,2;0,092316;159;317,49
26;0,007;1,55;0,061134;50;87,382
27;0,007;1,55;0,061134;96;172,14
28;0,007;1,55;0,061134;93;153,41
29;0,007;1,55;0,061134;93;147,15
30;0,007;1,55;0,061134;23;45,836
