0,0,0,0,0
1,1,3,100,307.71
1,1,3,100,565.14
1,2,11,66.667,592.62
1,2,11,33.333,1281.2
1,3,18,0,343.41
1,3,18,0,579.65
1,3,18,0,2426
2,1,3,100,376.02
2,1,3,100,747.13
2,2,11,0,801.07
2,2,11,33.333,1503.3
2,3,18,0,293.13
2,3,18,0,482.28
2,3,18,0,2732.7
3,1,3,66.667,485.44
3,1,3,33.333,1052.7
3,2,11,33.333,740.22
3,2,11,66.667,1417.1
3,3,18,0,185.38
3,3,18,33.333,380.84
3,3,18,33.333,2850.6
4,1,3,66.667,509.26
4,1,3,66.667,1054.9
4,2,11,100,354.93
4,2,11,66.667,1139.8
4,3,18,0,193.14
4,3,18,33.333,373.37
4,3,18,33.333,2568.1
